Manufacturer,count,Manufacturer_ID,simple_manufacturer
KCI USA Inc,17,194,kci usa
Merit Medical Singapore Pte Ltd,17,195,merit singapore pte
Nagor Ltd,17,196,nagor
WaveLight AG,17,197,wavelight ag
Biomet France,16,198,biomet france
BMDi TUTA Healthcare Pty Ltd,16,199,bmdi tuta
Elekta Business Area Software Systems Impac Medical Systems Inc,16,200,elekta business area software impac
Masimo Corporation,16,201,masimo
Polytech Health & Aesthetics GmbH,16,202,polytech health aesthetics gmbh
Resmed Limited,16,203,resmed
Advanced Surgical Design & Manufacture Limited,15,204,advanced design manufacture
BD Switzerland Sarl,15,205,bd switzerland sarl
Beijing KES Biology Technology Co Ltd,15,206,beijing kes biology
Codan US Corporation,15,207,codan us
Fairmont Medical Products Pty Ltd,15,208,fairmont
Livingstone International Pty Ltd,15,209,livingstone
Materialise NV,15,210,materialise nv
Merete Medical GmbH,15,211,merete gmbh
Molnlycke Health Care AB,15,212,molnlycke health care ab
Obtech Medical SARL,15,213,obtech sarl
Philips Medizinsysteme Boblingen,15,214,philips medizinsysteme boblingen
Philips Ultrasound Inc,15,215,philips ultrasound
Steris Corporation,15,216,steris
Amplitude SAS,14,217,amplitude sas
Baxter Healthcare Renal Div,14,218,baxter renal div
Boston Scientific Australia and New Zealand,14,219,boston scientific australia and new zealand
BSN Medical Pty Ltd,14,220,bsn
Howmedica Osteonics Corporation (USA),14,221,howmedica osteonics usa
Johnson & Johnson Pacific Pty Ltd,14,222,johnson johnson pacific
MatOrtho Ltd,14,223,matortho
MicroVention Inc,14,224,microvention
Nipro Corporation,14,225,nipro
Olympus Winter & Ibe GmbH,14,226,olympus winter ibe gmbh
Respironics Inc,14,227,respironics
Smith & Nephew Orthopaedics AG,14,228,smith nephew orthopaedics ag
Smiths Medical International Limited,14,229,smiths
Stryker Endoscopy,14,230,stryker endoscopy
Synovis Surgical Innovations (A Div of Synovis Life Technologies Inc),14,231,synovis innovations a div of synovis life technologies inc
Terumo Corporation,14,232,terumo
Vibrant Med-El Hearing Technology GmbH,14,233,vibrant med el hearing gmbh
Abbott Diabetes Care Ltd,13,234,abbott diabetes care
Applied Medical Resources Corporation,13,235,applied resources
ConMed Linvatec USA,13,236,conmed linvatec usa
Depuy (Ireland),13,237,depuy ireland
Depuy Spine SARL,13,238,depuy spine sarl
Eurosilicone SAS,13,239,eurosilicone sas
Grifols Australia Pty Ltd,13,240,grifols australia
Inverness Medical Japan Co Ltd,13,241,inverness japan
Karl Storz GmbH & Co KG,13,242,karl storz gmbh kg
Serf,13,243,serf
Siemens AG,13,244,siemens ag
Sofradim Production,13,245,sofradim production
TFS Manufacturing Pty Ltd,13,246,tfs manufacturing
Vygon GmbH & Co KG,13,247,vygon gmbh kg
Vygon SA,13,248,vygon sa
3M Health Care Group,12,249,3m health care group
Amplitude,12,250,amplitude
Asaleo Care Australia Pty Ltd,12,251,asaleo care australia
Ballard Medical Products,12,252,ballard
Bard Australia Pty Ltd,12,253,bard australia
Becton Dickinson and Co Ltd,12,254,becton dickinson and
Frantz Medical Development Ltd,12,255,frantz development
Medicina Ltd,12,256,medicina
Multigate Co Ltd,12,257,multigate
Roche Diagnostics GmbH Diabetes Care,12,258,roche diagnostics gmbh diabetes care
Stryker Instrument,12,259,stryker instrument
William A Cook Australia Pty Ltd,12,260,william a cook australia
Wright Medical Technology Inc,12,261,wright
Cook Biotech Incorporated,11,262,cook biotech
Edwards Lifesciences Pty Ltd,11,263,edwards lifesciences
Ethicon Inc (USA),11,264,ethicon usa
Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,11,265,howmedica osteonics corp a subsidiary of stryker
Intuitive Surgical Inc,11,266,intuitive
Mangar International,11,267,mangar
Medical Components Inc (dba Medcomp),11,268,components dba medcomp
Medline Assembly Australia Pty Ltd,11,269,medline assembly australia
Medtronic Sofamor Danek USA Inc,11,270,medtronic sofamor danek usa
Mentor Medical Systems B.V.,11,271,mentor b v
Smith & Nephew Inc Endoscopy Division,11,272,smith nephew endoscopy division
Stryker Trauma AG,11,273,stryker trauma ag
Therakos Inc,11,274,therakos
Welch Allyn Protocol Inc,11,275,welch allyn protocol
Wellspect HealthCare,11,276,wellspect
William Cook Europe ApS,11,277,william cook europe aps
Zevex Inc,11,278,zevex
Abbott Medical Optics Inc,10,279,abbott optics
AccessClosure Inc,10,280,accessclosure
Bayer Medical Care Inc,10,281,bayer care
Carefusion,10,282,carefusion
Ethicon Inc Also Trading as Ethicon Women's Health & Urology a Division Ethicon Inc,10,283,ethicon also trading as ethicon women s health urology a division ethicon
Ferrosan Medical Devices AS,10,284,ferrosan devices as
Gambro Industries,10,285,gambro
"HeartWare, Inc.",10,286,heartware
Ino Therapeutics,10,287,ino therapeutics
Karl Storz SE & Co KG,10,288,karl storz se kg
Maco Pharma SA,10,289,maco pharma sa
Maquet Cardiopulmonary GmBH,10,290,maquet cardiopulmonary gmbh
Maquet GmbH & Co KG,10,291,maquet gmbh kg
Multilan AG,10,292,multilan ag
Philips Healthcare,10,293,philips
"St. Jude Medical, Inc. Cardiac Rhythm Management Division",10,294,st jude cardiac rhythm management division
Stryker Spine,10,295,stryker spine
Unomedical AS,10,296,unomedical as
Walter Lorenz Surgical Inc also trading as Biomet Microfixation,10,297,walter lorenz also trading as biomet microfixation
Welch Allyn Inc,10,298,welch allyn
Abbott Ireland Diagnostic Division,9,299,abbott ireland diagnostic division
Abbott Ireland Ltd,9,300,abbott ireland
Amplitude Orthopaedics Limited,9,301,amplitude orthopaedics
Baxter Healthcare Corporation USA,9,302,baxter usa
Becton Dickinson SA,9,303,becton dickinson sa
Biosense Webster (Israel) Ltd,9,304,biosense webster israel
Cerapedics Inc,9,305,cerapedics
ConvaTec Limited,9,306,convatec
Heraeus Medical GmbH,9,307,heraeus gmbh
Johnson and Johnson Vision Care Inc,9,308,johnson and johnson vision care
Lake Region Medical,9,309,lake region
Mathys Ltd Bettlach,9,310,mathys bettlach
Occlutech GmbH,9,311,occlutech gmbh
Siemens Healthcare GmbH,9,312,siemens gmbh
Terumo BCT Inc,9,313,terumo bct
Vascutek Limited,9,314,vascutek
William Cook Europe,9,315,william cook europe
Airsep Corporation,8,316,airsep
Angiotech Puerto Rico Inc,8,317,angiotech puerto rico
Ansell (UK) Ltd,8,318,ansell uk
Asahi Intecc Co Ltd Medical Division,8,319,asahi intecc division
Becton Dickinson and Company,8,320,becton dickinson and company
Caesarea Medical Electronics Limited,8,321,caesarea electronics
Codman & Shurtleff Inc,8,322,codman shurtleff
Femcare-Nikomed Ltd,8,323,femcare nikomed
Gruppo Bioimpianti SRL,8,324,gruppo bioimpianti srl
Inovo Inc,8,325,inovo
ITL Healthcare Pty Ltd,8,326,itl
Johnson & Johnson Pacific,8,327,johnson johnson pacific
Lake Region Medical Ltd,8,328,lake region
Maquet SA,8,329,maquet sa
Medivance Inc,8,330,medivance
Medline International Two Australia Pty Ltd,8,331,medline two australia
Philips Goldway Shenzhen Industrial Inc,8,332,philips goldway shenzhen industrial
Signature Orthopaedics Europe Ltd,8,333,signature orthopaedics europe
Silimed Ltd.,8,334,silimed
Sorin Group Canada Inc Mitroflow Division,8,335,sorin group canada mitroflow division
Sorin Group Italia SRL,8,336,sorin group italia srl
Stimwave Technologies Inc,8,337,stimwave technologies
WaveTec Vision Systems Inc,8,338,wavetec vision
Advanced Sterilization Products a Johnson & Johnson Company Division of Ethicon Inc,7,339,advanced sterilization a johnson johnson company division of ethicon
Alcon Inc,7,340,alcon
Avanos Medical Inc,7,341,avanos
Biomet Sports Medicine T/A Arthrotek Inc,7,342,biomet sports medicine t a arthrotek
Candela Corporation,7,343,candela
Cardinal Health,7,344,cardinal health
Clearstream Technologies Ltd,7,345,clearstream technologies
Consensus Orthopedics Inc,7,346,consensus orthopedics
Cordis Europa Nv,7,347,cordis europa nv
DePuy France SA,7,348,depuy france sa
"DePuy International, Ltd",7,349,depuy
Emerging Implant Technologies GmbH,7,350,emerging implant technologies gmbh
Equashield Medical Ltd,7,351,equashield
Gambro Dialysatoren GmbH,7,352,gambro dialysatoren gmbh
GC Europe NV,7,353,gc europe nv
Impac Medical Systems Inc,7,354,impac
Irvine Biomedical Inc a St Jude Medical Company,7,355,irvine biomedical a st jude company
Johnson & Johnson GmbH,7,356,johnson johnson gmbh
LifeScan Europe A Division of Cilag GmbH International,7,357,lifescan europe a division of cilag gmbh
Maquet Critical Care AB,7,358,maquet critical care ab
Mediquip Sdn Bhd,7,359,mediquip sdn bhd
Medos International SARL,7,360,medos sarl
North Coast Medical Inc,7,361,north coast
Novapharm Research (Australia) Pty Ltd,7,362,novapharm research australia
Nutricia Medical devices BV,7,363,nutricia devices bv
Philips Medical Systems Nederland BV Business Unit Magnetic Resonance - Site Best,7,364,philips nederland bv business unit magnetic resonance site best
Royal Fornia Medical Equipment Co Ltd,7,365,royal fornia equipment
Solta Medical Inc,7,366,solta
Soluscope SAS,7,367,soluscope sas
Steelco Spa,7,368,steelco spa
Stryker Instruments a division of Stryker Corporation,7,369,stryker instruments a division of stryker
Stryker Spine Inc,7,370,stryker spine
Unomedical Inc Unomedical SA De CV,7,371,unomedical unomedical sa de cv
AgaMatrix Inc,6,372,agamatrix
ARJO Hospital Equipment AB,6,373,arjo hospital equipment ab
BD Vacutainer Systems,6,374,bd vacutainer
BrainLAB AG,6,375,brainlab ag
Ellex Medical Pty Ltd,6,376,ellex
Evalve Inc DBA Abbott Vascular Inc,6,377,evalve dba abbott vascular
FlowCardia Inc,6,378,flowcardia
Headstar Medical Products Co Ltd,6,379,headstar
IDev Technologies Inc,6,380,idev technologies
Imdsoft Ltd,6,381,imdsoft
Ivantis Inc,6,382,ivantis
Kimberly-Clark,6,383,kimberly clark
Leica Biosystems Melbourne Pty Ltd,6,384,leica biosystems melbourne
Liko AB,6,385,liko ab
Limacorporate S.p.A.,6,386,limacorporate s p a
Linmed Medical Co Ltd,6,387,linmed
Lumenis Limited,6,388,lumenis
Medica Europe BV,6,389,medica europe bv
Nuvasive Specialized Orthopaedics Inc,6,390,nuvasive specialized orthopaedics
Ontex Hygienartike,6,391,ontex hygienartike
Pajunk GmbH Medizintechnologie,6,392,pajunk gmbh medizintechnologie
Planet Suzhou Medical Products Co Ltd,6,393,planet suzhou
Raumedic AG,6,394,raumedic ag
Red Milawa Pty Ltd T/A Magic Mobility,6,395,red milawa t a magic mobility
SenoRx Inc,6,396,senorx
Siemens Medical Solutions USA Inc Molecular Imaging,6,397,siemens solutions usa molecular imaging
Signature Orthopaedics Pty Ltd,6,398,signature orthopaedics
Smiths Medical Czech Republic as,6,399,smiths czech republic as
Smiths Medical International Ltd,6,400,smiths
Unomedical A/S,6,401,unomedical a s
Vital Signs Inc,6,402,vital signs
WaveLight GmbH,6,403,wavelight gmbh
Zimmer Surgical Inc,6,404,zimmer
3M Espe Dental Products,5,405,3m espe dental
Acist Medical Systems Inc,5,406,acist
Aesculap AG,5,407,aesculap ag
Albaad Massuot Yitzhak Ltd,5,408,albaad massuot yitzhak
Angiomed GmbH & Co,5,409,angiomed gmbh
Anteis SA,5,410,anteis sa
Biosensors International Pte Ltd,5,411,biosensors pte
Chalice Medical Ltd,5,412,chalice
Clinical Innovations LLC,5,413,clinical innovations
Concentric Medical Inc,5,414,concentric
Covidien Pty Ltd,5,415,covidien
Elekta Limited,5,416,elekta
Euros SAS,5,417,euros sas
Foremount Enterprise Co Ltd,5,418,foremount enterprise
Galemed Corporation,5,419,galemed
Greatbatch Medical,5,420,greatbatch
Hivox Biotek Inc,5,421,hivox biotek
Hoya Corporation,5,422,hoya
Idoman Teoranta,5,423,idoman teoranta
IO International Orthpaedics Holding GmbH,5,424,io orthpaedics holding gmbh
Kyeron,5,425,kyeron
Liebel-Flarsheim Company LLC,5,426,liebel flarsheim company
LifeScan Europe A Division of Cilag GmbH Internati,5,427,lifescan europe a division of cilag gmbh internati
Logikal Health Products Pty Ltd,5,428,logikal health
Mediplas Respiratory Products Sdn Bhd,5,429,mediplas respiratory sdn bhd
Medline International France SAS,5,430,medline france sas
Nikkiso Co Ltd,5,431,nikkiso
Ningbo Greetmed Medical Instruments Co Ltd,5,432,ningbo greetmed instruments
Pacific Hospital Supply Co Ltd,5,433,pacific hospital supply
Pride Mobility Products,5,434,pride mobility
Profit Country Enterprises Ltd,5,435,profit country enterprises
Reckitt Benckiser Healthcare (UK) Limited,5,436,reckitt benckiser uk
SCA Hygiene Australasia Pty Limited,5,437,sca hygiene australasia
Shanghai Johnson & Johnson Ltd,5,438,shanghai johnson johnson
Siemens Healthcare Diagnostics Products GmbH,5,439,siemens diagnostics gmbh
Smith & Nephew Medical Ltd,5,440,smith nephew
Stanmore Implants Worldwide Ltd,5,441,stanmore implants worldwide
Stryker Leibinger GmbH & Co KG,5,442,stryker leibinger gmbh kg
Symmetry Surgical Inc,5,443,symmetry
Tyco Healthcare (UK) Manufacturing LTD,5,444,tyco uk manufacturing
Verathon Medical (Canada) ULC,5,445,verathon canada ulc
Volcano Corporation,5,446,volcano
"W. L. Gore & Associates, Inc.",5,447,w l gore associates
Zimmer Trabecular Metal Technology Inc,5,448,zimmer trabecular metal
Abbott Laboratories (Ohio),4,449,abbott laboratories ohio
Alcon laboratories,4,450,alcon laboratories
Alcon Laboratories Inc.,4,451,alcon laboratories
Ambu AS,4,452,ambu as
Anaesthetic Medical Systems,4,453,anaesthetic
Baxter Healthcare Pty Ltd,4,454,baxter
Becton Dickinson & Company Ltd (BD Medical Surgical),4,455,becton dickinson company bd surgical
Becton Dickinson Medical (s) Pte Ltd,4,456,becton dickinson s pte
Becton Dickinson Vacutainer Systems,4,457,becton dickinson vacutainer
BIOSENSE WEBSTER INC,4,458,biosense webster
Biosensors Europe SA,4,459,biosensors europe sa
Carl Zeiss MediTec SAS,4,460,carl zeiss meditec sas
Ceramtec GmbH,4,461,ceramtec gmbh
Ciba Vision Corp,4,462,ciba vision corp
Cigweld Pty Ltd,4,463,cigweld
Conceptus Inc,4,464,conceptus
Contura International A/S,4,465,contura a s
CoorsTek Medical LLC,4,466,coorstek
Cordis Cashel,4,467,cordis cashel
Cosman Medical Inc,4,468,cosman
Defries Industries Pty Ltd,4,469,defries
Depuy International (England),4,470,depuy england
Depuy International Ltd,4,471,depuy
DePuy Spine Inc,4,472,depuy spine
DM Systems (Beijing) Co Limited,4,473,dm beijing
Drager Medical GmbH,4,474,drager gmbh
Dragerwerk AG & Co KGaA,4,475,dragerwerk ag kgaa
Elekta Business Area Software Systems Impac Medica,4,476,elekta business area software impac medica
Ethicon GMBH,4,477,ethicon gmbh
Etihicon Inc,4,478,etihicon
FHC Inc,4,479,fhc
GE Medical Systems Israel - Functional Imaging,4,480,ge israel functional imaging
Go Medical Industries Pty Ltd,4,481,go
Hill-Rom Inc,4,482,hill rom
Howmedica Osteonics Corp a Subsidiary of Stryker C,4,483,howmedica osteonics corp a subsidiary of stryker c
Impromediform GmbH,4,484,impromediform gmbh
Integra Burlington MA Inc,4,485,integra burlington ma
International Medical Research,4,486,research
Invacare Corporation,4,487,invacare
K Care Pty Ltd,4,488,k care
Kendall a Division of Tyco Healthcare Group LP,4,489,kendall a division of tyco group lp
Kerr Corporation,4,490,kerr
LabStyle Innovations Ltd,4,491,labstyle innovations
Med-El Elektromedizinische Gerate GmbH,4,492,med el elektromedizinische gerate gmbh
Medical Innovation Developpement,4,493,innovation developpement
Newdeal SAS,4,494,newdeal sas
Ohmeda Medical a Division of Datex-Ohmeda,4,495,ohmeda a division of datex ohmeda
Ontex NV,4,496,ontex nv
Orion Laboratories Pty Ltd T/A Perrigo Australia,4,497,orion laboratories t a perrigo australia
Osstem Implant Co Ltd,4,498,osstem implant
Ossur HF,4,499,ossur hf
Philips Medical Systems Cleveland Inc,4,500,philips cleveland
Promedon SA,4,501,promedon sa
Purple Surgical International Ltd,4,502,purple
Sewoon Medical Co Ltd,4,503,sewoon
Shaoxing Fuqing Health Products Co Ltd,4,504,shaoxing fuqing health
Silimed Ltd,4,505,silimed
Sirtex Medical Limited,4,506,sirtex
Spatz FGIA Inc,4,507,spatz fgia
Spinal Modulation Inc,4,508,spinal modulation
St Jude Medical Cardiac Rhythm Management Division,4,509,st jude cardiac rhythm management division
Steris Canada Corporation,4,510,steris canada
Stryker Medical,4,511,stryker
Stryker Neurovascular,4,512,stryker neurovascular
Swann Morton Ltd,4,513,swann morton
Sybron Implant Solutions,4,514,sybron implant solutions
Teoxane SA,4,515,teoxane sa
Tornier Inc,4,516,tornier
TriVascular Inc,4,517,trivascular
Tyco Healthcare Group LP Puritan Bennett Division,4,518,tyco group lp puritan bennett division
Unimax Medical Systems Inc,4,519,unimax
Abbott Laboratories Vascular Enterprises Limited D,3,520,abbott laboratories vascular enterprises d
Abbott Spine Inc,3,521,abbott spine
Advanced Bionics AG,3,522,advanced bionics ag
Alcon Laboratories WaveLight AG,3,523,alcon laboratories wavelight ag
Alcon Laboratories-Fort Worth,3,524,alcon laboratories fort worth
Allium Ltd,3,525,allium
Anhui Tiankang Medical Technology Co Ltd,3,526,anhui tiankang
Applied Medical Technology Inc,3,527,applied
Aquatec GmBh & Co KG,3,528,aquatec gmbh kg
Arcadophta SARL,3,529,arcadophta sarl
Argon Medical Devices Inc,3,530,argon devices
Augmenix Inc,3,531,augmenix
B Braun Medical,3,532,b braun
B Braun Medical Inc,3,533,b braun
Balt Extrusion SA,3,534,balt extrusion sa
Becton Dickinson Infusion Therapy AB,3,535,becton dickinson infusion therapy ab
bioMerieux Inc,3,536,biomerieux
Biomet Orthopedic,3,537,biomet orthopedic
Biosense Webster,3,538,biosense webster
BIOTRONIK AG,3,539,biotronik ag
Burke Mobility Inc,3,540,burke mobility
Caire Inc,3,541,caire
Carbon Medical Technologies Inc,3,542,carbon technologies
CareFusion Finland 320 Oy,3,543,carefusion finland 320 oy
