CODE,METS,MAJOR HEADING,SPECIFIC ACTIVITIES,
2062,7.8,conditioning exercise,"health club exercise, conditioning classes",
2064,3.8,conditioning exercise,"home exercise, general",
2065,9,conditioning exercise,"stair-treadmill ergometer, general",
2068,12.3,conditioning exercise,"rope skipping, general",
2070,6,conditioning exercise,"rowing, stationary ergometer, general, vigorous effort",
2071,4.8,conditioning exercise,"rowing, stationary, general, moderate effort",
2072,7,conditioning exercise,"rowing, stationary, 100 watts, moderate effort",
2073,8.5,conditioning exercise,"rowing, stationary, 150 watts, vigorous effort",
2074,12,conditioning exercise,"rowing, stationary, 200 watts, very vigorous effort",
2080,6.8,conditioning exercise,"ski machine, general",
2085,11,conditioning exercise,"slide board exercise, general",
2090,6,conditioning exercise,"slimnastics, jazzercise",
2101,2.3,conditioning exercise,"stretching, mild",
2105,3,conditioning exercise,"pilates, general",
2110,6.8,conditioning exercise,"teaching exercise class (e.g., aerobic, water)",
2112,2.8,conditioning exercise,"therapeutic exercise ball, Fitball exercise",
2115,2.8,conditioning exercise,"upper body exercise, arm ergometer",
2117,4.3,conditioning exercise,"upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate",
2120,5.3,conditioning exercise,"water aerobics, water calisthenics, water exercise",
2135,1.3,conditioning exercise,"whirlpool, sitting",
2140,2.3,conditioning exercise,"video exercise workouts, TV conditioning programs (e.g., yoga, stretching), light effort",
2143,4,conditioning exercise,"video exercise workouts, TV conditioning programs (e.g., cardio-resistance), moderate effort",
2146,6,conditioning exercise,"video exercise workouts, TV conditioning programs (e.g., cardio-resistance), vigorous effort",
2150,2.5,conditioning exercise,"yoga, Hatha",
2160,4,conditioning exercise,"yoga, Power",
2170,2,conditioning exercise,"yoga, Nadisodhana",
2180,3.3,conditioning exercise,"yoga, Surya Namaskar",
2200,5.3,conditioning exercise,"native New Zealander physical activities (e.g., Haka Powhiri, Moteatea, Waita Tira, Whakawatea, etc.), general, moderate effort",
2205,6.8,conditioning exercise,"native New Zealander physical activities (e.g., Haka, Taiahab), general, vigorous effort",
3010,5,dancing,"ballet, modern, or jazz, general, rehearsal or class",
3012,6.8,dancing,"ballet, modern, or jazz, performance, vigorous effort",
3014,4.8,dancing,tap,
3015,7.3,dancing,"aerobic, general",
3016,7.5,dancing,"aerobic, step, with 6 - 8 inch step",
3017,9.5,dancing,"aerobic, step, with 10 - 12 inch step",
3018,5.5,dancing,"aerobic, step, with 4-inch step",
3019,8.5,dancing,"bench step class, general",
3020,5,dancing,"aerobic, low impact",
3021,7.3,dancing,"aerobic, high impact",
3022,10,dancing,aerobic dance wearing 10-15 lb weights,
3025,4.5,dancing,"ethnic or cultural dancing (e.g., Greek, Middle Eastern, hula, salsa, merengue, bamba y plena, flamenco, belly, and swing)",
3030,5.5,dancing,"ballroom, fast (Taylor Code 125)",
3031,7.8,dancing,"general dancing (e.g., disco, folk, Irish step dancing, line dancing, polka, contra, country)",
3038,11.3,dancing,"ballroom dancing, competitive, general",
3040,3,dancing,"ballroom, slow (e.g., waltz, foxtrot, slow dancing, samba, tango, 19 th century dance, mambo, cha cha)",
3050,5.5,dancing,Anishinaabe Jingle Dancing,
3060,3.5,dancing,"Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin's, Caribbean Quadrills, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Kumina, Oreisha, Jambu)",
4001,3.5,fishing and hunting,"fishing, general",
4005,4.5,fishing and hunting,"fishing, crab fishing",
4007,4,fishing and hunting,"fishing, catching fish with hands",
4010,4.3,fishing and hunting,"fishing related, digging worms, with shovel",
4020,4,fishing and hunting,fishing from river bank and walking,
4030,2,fishing and hunting,"fishing from boat or canoe, sitting",
4040,3.5,fishing and hunting,"fishing from river bank, standing (Taylor Code 660)",
4050,6,fishing and hunting,"fishing in stream, in waders (Taylor Code 670)",
4060,2,fishing and hunting,"fishing, ice, sitting",
4061,1.8,fishing and hunting,"fishing, jog or line, standing, general",
4062,3.5,fishing and hunting,"fishing, dip net, setting net and retrieving fish, general",
4063,3.8,fishing and hunting,"fishing, set net, setting net and retrieving fish, general",
4064,3,fishing and hunting,"fishing, fishing wheel, setting net and retrieving fish, general",
4065,2.3,fishing and hunting,"fishing with a spear, standing",
4070,2.5,fishing and hunting,"hunting, bow and arrow, or crossbow",
4080,6,fishing and hunting,"hunting, deer, elk, large game (Taylor Code 170)",
4081,11.3,fishing and hunting,"hunting large game, dragging carcass",
4083,4,fishing and hunting,hunting large marine animals,
4085,2.5,fishing and hunting,"hunting large game, from a hunting stand, limited walking",
4086,2,fishing and hunting,"hunting large game from a car, plane, or boat",
4090,2.5,fishing and hunting,"hunting, duck, wading",
4095,3,fishing and hunting,"hunting, flying fox, squirrel",
4100,5,fishing and hunting,"hunting, general",
4110,6,fishing and hunting,"hunting, pheasants or grouse (Taylor Code 680)",
4115,3.3,fishing and hunting,"hunting, birds",
4120,5,fishing and hunting,"hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)",
4123,3.3,fishing and hunting,"hunting, pigs, wild",
4124,2,fishing and hunting,"trapping game, general",
4125,9.5,fishing and hunting,"hunting, hiking with hunting gear",
4130,2.5,fishing and hunting,"pistol shooting or trap shooting, standing",
4140,2.3,fishing and hunting,"rifle exercises, shooting, lying down",
4145,2.5,fishing and hunting,"rifle exercises, shooting, kneeling or standing",
5010,3.3,home activities,"cleaning, sweeping carpet or floors, general",
5011,2.3,home activities,"cleaning, sweeping, slow, light effort",
5012,3.8,home activities,"cleaning, sweeping, slow, moderate effort",
5020,3.5,home activities,"cleaning, heavy or major (e.g. wash car, wash windows, clean garage), moderate effort",
5021,3.5,home activities,"cleaning, mopping, standing, moderate effort",
5022,3.2,home activities,"cleaning windows, washing windows, general",
5023,2.5,home activities,"mopping, standing, light effort",
5024,4.5,home activities,"polishing floors, standing, walking slowly, using electric polishing machine",
5025,2.8,home activities,"multiple household tasks all at once, light effort",
5026,3.5,home activities,"multiple household tasks all at once, moderate effort",
5027,4.3,home activities,"multiple household tasks all at once, vigorous effort",
5030,3.3,home activities,"cleaning, house or cabin, general, moderate effort",
5032,2.3,home activities,"dusting or polishing furniture, general",
5035,3.3,home activities,"kitchen activity, general, (e.g., cooking, washing dishes, cleaning up), moderate effort",
5040,2.5,home activities,"cleaning, general (straightening up, changing linen, carrying out trash, light effort",
5041,1.8,home activities,"wash dishes, standing or in general (not broken into stand/walk components)",
5042,2.5,home activities,"wash dishes, clearing dishes from table, walking, light effort",
5043,3.3,home activities,"vacuuming, general, moderate effort",
5044,3,home activities,"butchering animals, small",
5045,6,home activities,"butchering animal, large, vigorous effort",
5046,2.3,home activities,"cutting and smoking fish, drying fish or meat",
5048,4,home activities,"tanning hides, general",
5049,3.5,home activities,"cooking or food preparation, moderate effort",
5050,2,home activities,"cooking or food preparation - standing or sitting or in general (not broken into stand/walk components), manual appliances, light effort",
5051,2.5,home activities,"serving food, setting table, implied walking or standing",
5052,2.5,home activities,"cooking or food preparation, walking",
5053,2.5,home activities,feeding household animals,
5055,2.5,home activities,"putting away groceries (e.g. carrying groceries, shopping without a grocery cart), carrying packages",
5056,7.5,home activities,carrying groceries upstairs,
5057,3,home activities,cooking Indian bread on an outside stove,
5060,2.3,home activities,"food shopping with or without a grocery cart, standing or walking",
5065,2.3,home activities,"non-food shopping, with or without a cart, standing or walking",
5070,1.8,home activities,ironing,
5080,1.3,home activities,"knitting, sewing, light effort, wrapping presents, sitting",
5082,2.8,home activities,sewing with a machine,
5090,2,home activities,"laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand, implied standing, light effort",
5092,4,home activities,"laundry, hanging wash, washing clothes by hand, moderate effort",
5095,2.3,home activities,"laundry, putting away clothes, gathering clothes to pack, putting away laundry, implied walking",
5100,3.3,home activities,"making bed, changing linens",
5110,5,home activities,"maple syruping/sugar bushing (including carrying buckets, carrying wood)",
5120,5.8,home activities,"moving furniture, household items, carrying boxes",
5121,5,home activities,"moving, lifting light loads",
5125,4.8,home activities,organizing room,
5130,3.5,home activities,"scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort",
5131,2,home activities,"scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, light effort",
5132,6.5,home activities,"scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, vigorous effort",
5140,4,home activities,"sweeping garage, sidewalk or outside of house",
5146,3.5,home activities,"standing, packing/unpacking boxes, occasional lifting of lightweight household items, loading or unloading items in car, moderate effort",
5147,3,home activities,"implied walking, putting away household items, moderate effort",
5148,2.5,home activities,watering plants,
5149,2.5,home activities,building a fire inside,
5150,9,home activities,"moving household items upstairs, carrying boxes or furniture",
5160,2,home activities,"standing, light effort tasks (pump gas, change light bulb, etc.)",
5165,3.5,home activities,"walking, moderate effort tasks, non-cleaning (readying to leave, shut/lock doors, close windows, etc.)",
5170,2.2,home activities,"sitting, playing with child(ren), light effort, only active periods",
5171,2.8,home activities,"standing, playing with child(ren) light effort, only active periods",
5175,3.5,home activities,"walking/running, playing with child(ren), moderate effort, only active periods",
5180,5.8,home activities,"walking/running, playing with child(ren), vigorous effort, only active periods",
5181,3,home activities,"walking and carrying small child, child weighing 15 lbs or more",
5182,2.3,home activities,"walking and carrying small child, child weighing less than 15 lbs",
5183,2,home activities,"standing, holding child",
5184,2.5,home activities,"child care, infant, general",
5185,2,home activities,"child care, sitting/kneeling (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), light effort, general",
5186,3,home activities,"child care, standing (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), moderate effort",
5188,1.5,home activities,reclining with baby,
5189,2,home activities,"breastfeeding, sitting or reclining",
5190,2.5,home activities,"sit, playing with animals, light effort, only active periods",
5191,2.8,home activities,"stand, playing with animals, light effort, only active periods",
5192,3,home activities,"walk/run, playing with animals, general, light effort, only active periods",
5193,4,home activities,"walk/run, playing with animals, moderate effort, only active periods",
5194,5,home activities,"walk/run, playing with animals, vigorous effort, only active periods",
5195,3.5,home activities,"standing, bathing dog",
5197,2.3,home activities,"animal care, household animals, general",
5200,4,home activities,"elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods",
5205,2.3,home activities,"elder care, disabled adult, feeding, combing hair, light effort, only active periods",
6010,3,home repair,airplane repair,
6020,4,home repair,automobile body work,
6030,3.3,home repair,"automobile repair, light or moderate effort",
6040,3,home repair,"carpentry, general, workshop (Taylor Code 620)",
6050,6,home repair,"carpentry, outside house, installing rain gutters (Taylor Code 640),carpentry, outside house, building a fence",
6052,3.8,home repair,"carpentry, outside house, building a fence",
6060,3.3,home repair,"carpentry, finishing or refinishing cabinets or furniture",
6070,6,home repair,"carpentry, sawing hardwood",
6072,4,home repair,"carpentry, home remodeling tasks, moderate effort",
6074,2.3,home repair,"carpentry, home remodeling tasks, light effort",
6080,5,home repair,"caulking, chinking log cabin",
6090,4.5,home repair,"caulking, except log cabin",
6100,5,home repair,cleaning gutters,
6110,5,home repair,excavating garage,
6120,5,home repair,hanging storm windows,
6122,5,home repair,hanging sheet rock inside house,
6124,3,home repair,hammering nails,
6126,2.5,home repair,"home repair, general, light effort",
6127,4.5,home repair,"home repair, general, moderate effort",
6128,6,home repair,"home repair, general, vigorous effort",
6130,4.5,home repair,laying or removing carpet,
6140,3.8,home repair,"laying tile or linoleum,repairing appliances",
6144,3,home repair,repairing appliances,
6150,5,home repair,"painting, outside home (Taylor Code 650)",
6160,3.3,home repair,"painting inside house,wallpapering, scraping paint",
6165,4.5,home repair,"painting, (Taylor Code 630)",
6167,3,home repair,"plumbing, general",
6170,3,home repair,put on and removal of tarp - sailboat,
6180,6,home repair,roofing,
6190,4.5,home repair,sanding floors with a power sander,
6200,4.5,home repair,scraping and painting sailboat or powerboat,
6205,2,home repair,sharpening tools,
6210,5,home repair,spreading dirt with a shovel,
6220,4.5,home repair,washing and waxing hull of sailboat or airplane,
6225,2,home repair,washing and waxing car,
6230,4.5,home repair,"washing fence, painting fence, moderate effort",
6240,3.3,home repair,"wiring, tapping-splicing",
7010,1,inactivity quiet/light,lying quietly and watching television,
7011,1.3,inactivity quiet/light,"lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)",
7020,1.3,inactivity quiet/light,sitting quietly and watching television,
7021,1.3,inactivity quiet/light,"sitting quietly, general",
7022,1.5,inactivity quiet/light,"sitting quietly, fidgeting, general, fidgeting hands",
7023,1.8,inactivity quiet/light,"sitting, fidgeting feet",
7024,1.3,inactivity quiet/light,"sitting, smoking",
7025,1.5,inactivity quiet/light,"sitting, listening to music (not talking or reading) or watching a movie in a theater",
7026,1.3,inactivity quiet/light,"sitting at a desk, resting head in hands",
7030,0.95,inactivity quiet/light,sleeping,
7040,1.3,inactivity quiet/light,"standing quietly, standing in a line",
7041,1.8,inactivity quiet/light,"standing, fidgeting",
7050,1.3,inactivity quiet/light,"reclining, writing",
7060,1.3,inactivity quiet/light,"reclining, talking or talking on phone",
7070,1.3,inactivity quiet/light,"reclining, reading",
7075,1,inactivity quiet/light,meditating,
8009,3.3,lawn and garden,"carrying, loading or stacking wood, loading/unloading or carrying lumber, light-to-moderate effort",
8010,5.5,lawn and garden,"carrying, loading or stacking wood, loading/unloading or carrying lumber",
8019,4.5,lawn and garden,"chopping wood, splitting logs, moderate effort",
8020,6.3,lawn and garden,"chopping wood, splitting logs, vigorous effort",
8025,3.5,lawn and garden,"clearing light brush, thinning garden, moderate effort",
8030,6.3,lawn and garden,"clearing brush/land, undergrowth, or ground, hauling branches, wheelbarrow chores, vigorous effort",
8040,5,lawn and garden,"digging sandbox, shoveling sand",
8045,3.5,lawn and garden,"digging, spading, filling garden, composting, light-to-moderate effort",
8050,5,lawn and garden,"digging, spading, filling garden, compositing, (Taylor Code 590)",
8052,7.8,lawn and garden,"digging, spading, filling garden, composting, vigorous effort",
8055,2.8,lawn and garden,driving tractor,
8057,8.3,lawn and garden,"felling trees, large size",
8058,5.3,lawn and garden,"felling trees, small-medium size",
8060,5.8,lawn and garden,"gardening with heavy power tools, tilling a garden, chain saw",
8065,2.3,lawn and garden,"gardening, using containers, older adults > 60 years",
8070,4,lawn and garden,"irrigation channels, opening and closing ports",
8080,6.3,lawn and garden,laying crushed rock,
8090,5,lawn and garden,laying sod,
8095,5.5,lawn and garden,"mowing lawn, general",
8100,2.5,lawn and garden,"mowing lawn, riding mower (Taylor Code 550)",
8110,6,lawn and garden,"mowing lawn, walk, hand mower (Taylor Code 570)",
8120,5,lawn and garden,"mowing lawn, walk, power mower, moderate or vigorous effort",
8125,4.5,lawn and garden,"mowing lawn, power mower, light or moderate effort (Taylor Code 590)",
8130,2.5,lawn and garden,"operating snow blower, walking",
8135,2,lawn and garden,"planting, potting, transplanting seedlings or plants, light effort",
8140,4.3,lawn and garden,"planting seedlings, shrub, stooping, moderate effort",
8145,4.3,lawn and garden,"planting crops or garden, stooping, moderate effort",
8150,4.5,lawn and garden,planting trees,
8160,3.8,lawn and garden,"raking lawn or leaves, moderate effort",
8165,4,lawn and garden,raking lawn (Taylor Code 600),
8170,4,lawn and garden,raking roof with snow rake,
8180,3,lawn and garden,riding snow blower,
8190,4,lawn and garden,"sacking grass, leaves",
8192,5.5,lawn and garden,shoveling dirt or mud,
8195,5.3,lawn and garden,"shoveling snow, by hand, moderate effort",
8200,6,lawn and garden,"shovelling snow, by hand (Taylor Code 610)",
8202,7.5,lawn and garden,"shoveling snow, by hand, vigorous effort",
8210,4,lawn and garden,"trimming shrubs or trees, manual cutter",
8215,3.5,lawn and garden,"trimming shrubs or trees, power cutter, using leaf blower, edge, moderate effort",
8220,3,lawn and garden,"walking, applying fertilizer or seeding a lawn, push applicator",
8230,1.5,lawn and garden,"watering lawn or garden, standing or walking",
8239,3.5,lawn and garden,"weeding, cultivating garden, light-to-moderate effort",
8240,4.5,lawn and garden,"weeding, cultivating garden (Taylor Code 580)",
8241,5,lawn and garden,"weeding, cultivating garden, using a hoe, moderate-to-vigorous effort",
8245,3.8,lawn and garden,"gardening, general, moderate effort",
8246,3.5,lawn and garden,"picking fruit off trees, picking fruits/vegetables, moderate effort",
8248,4.5,lawn and garden,"picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous effort",
8250,3.3,lawn and garden,"implied walking/standing - picking up yard, light, picking flowers or vegetables",
8251,3,lawn and garden,"walking, gathering gardening tools",
8255,5.5,lawn and garden,"wheelbarrow, pushing garden cart or wheelbarrow",
8260,3,lawn and garden,"yard work, general, light effort",
8261,4,lawn and garden,"yard work, general, moderate effort",
8262,6,lawn and garden,"yard work, general, vigorous effort",
9000,1.5,miscellaneous,"board game playing, sitting",
9005,2.5,miscellaneous,"casino gambling, standing",
9010,1.5,miscellaneous,"card playing, sitting",
9013,1.5,miscellaneous,"chess game, sitting",
9015,1.5,miscellaneous,"copying documents, standing",
9020,1.8,miscellaneous,"drawing, writing, painting, standing",
9025,1,miscellaneous,"laughing, sitting",
9030,1.3,miscellaneous,"sitting, reading, book, newspaper, etc.",
9040,1.3,miscellaneous,"sitting, writing, desk work, typing",
9045,1,miscellaneous,"sitting, playing traditional video game, computer game",
9050,1.8,miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",
9055,1.5,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",
9060,1.3,miscellaneous,"sitting, studying, general, including reading and/or writing, light effort",
9065,1.8,miscellaneous,"sitting, in class, general, including note-taking or class discussion",
9070,1.8,miscellaneous,"standing, reading",
9071,2.5,miscellaneous,"standing, miscellaneous",
9075,1.8,miscellaneous,"sitting, arts and crafts, carving wood, weaving, spinning wool, light effort",
9080,3,miscellaneous,"sitting, arts and crafts, carving wood, weaving, spinning wool, moderate effort",
9085,2.5,miscellaneous,"standing, arts and crafts, sand painting, carving, weaving, light effort",
9090,3.3,miscellaneous,"standing, arts and crafts, sand painting, carving, weaving, moderate effort",
9095,3.5,miscellaneous,"standing, arts and crafts, sand painting, carving, weaving, vigorous effort",
9100,1.8,miscellaneous,"retreat/family reunion activities involving sitting, relaxing, talking, eating",
9101,3,miscellaneous,retreat/family reunion activities involving playing games with children,
9105,2,miscellaneous,touring/traveling/vacation involving riding in a vehicle,
9106,3.5,miscellaneous,touring/traveling/vacation involving walking,
9110,2.5,miscellaneous,"camping involving standing, walking, sitting, light-to-moderate effort",
9115,1.5,miscellaneous,"sitting at a sporting event, spectator",
10010,1.8,music playing,"accordion, sitting",
10020,2.3,music playing,"cello, sitting",
10030,2.3,music playing,"conducting orchestra, standing",
10035,2.5,music playing,"double bass, standing",
10040,3.8,music playing,"drums, sitting",
10045,3,music playing,"drumming (e.g., bongo, conga, benbe), moderate, sitting",
10050,2,music playing,"flute, sitting",
10060,1.8,music playing,"horn, standing",
10070,2.3,music playing,"piano, sitting",
10074,2,music playing,"playing musical instruments, general",
10077,2,music playing,"organ, sitting",
10080,3.5,music playing,"trombone, standing",
10090,1.8,music playing,"trumpet, standing",
10100,2.5,music playing,"violin, sitting",
10110,1.8,music playing,"woodwind, sitting",
10120,2,music playing,"guitar, classical, folk, sitting",
10125,3,music playing,"guitar, rock and roll band, standing",
10130,4,music playing,"marching band, baton twirling, walking, moderate pace, general",
10131,5.5,music playing,"marching band, playing an instrument, walking, brisk pace, general",
10135,3.5,music playing,"marching band, drum major, walking",
11003,2.3,occupation,"active workstation, treadmill desk, walking",
11006,3,occupation,airline flight attendant,
11010,4,occupation,"bakery, general, moderate effort",
11015,2,occupation,"bakery, light effort",
11020,2.3,occupation,bookbinding,
11030,6,occupation,"building road, driving heavy machinery",
11035,2,occupation,"building road, directing traffic, standing",
11038,2.5,occupation,"carpentry, general, light effort",
11040,4.3,occupation,"carpentry, general, moderate effort",
11042,7,occupation,"carpentry, general, heavy or vigorous effort",
11050,8,occupation,"carrying heavy loads (e.g., bricks, tools)",
11060,8,occupation,"carrying moderate loads up stairs, moving boxes 25-49 lbs",
11070,4,occupation,"chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart",
11080,5.3,occupation,"coal mining, drilling coal, rock",
11090,5,occupation,"coal mining, erecting supports",
11100,5.5,occupation,"coal mining, general",
11110,6.3,occupation,"coal mining, shoveling coal",
11115,2.5,occupation,"cook, chef",
11120,4,occupation,"construction, outside, remodeling, new structures (e.g., roof repair, miscellaneous)",
11125,2.3,occupation,"custodial work, light effort (e.g., cleaning sink and toilet, dusting, vacuuming, light cleaning)",
11126,3.8,occupation,"custodial work, moderate effort (e.g., electric buffer, feathering arena floors, mopping, taking out trash, vacuuming)",
11128,2,occupation,"driving delivery truck, taxi, shuttle bus, school bus",
11130,3.3,occupation,"electrical work (e.g., hook up wire, tapping-splicing)",
11135,1.8,occupation,"engineer (e.g., mechanical or electrical)",
11145,7.8,occupation,"farming, vigorous effort (e.g., baling hay, cleaning barn)",
11146,4.8,occupation,"farming, moderate effort (e.g., feeding animals, chasing cattle by walking and/or horseback, spreading manure, harvesting crops)",
11147,2,occupation,"farming, light effort (e.g., cleaning animal sheds, preparing animal feed)",
11170,2.8,occupation,"farming, driving tasks (e.g., driving tractor or harvester)",
11180,3.5,occupation,"farming, feeding small animals",
11190,4.3,occupation,"farming, feeding cattle, horses",
11191,4.3,occupation,"farming, hauling water for animals, general hauling water,farming, general hauling water",
11192,4.5,occupation,"farming, taking care of animals (e.g., grooming, brushing, shearing sheep, assisting with birthing, medical care, branding), general",
11195,3.8,occupation,"farming, rice, planting, grain milling activities",
11210,3.5,occupation,"farming, milking by hand, cleaning pails, moderate effort",
11220,1.3,occupation,"farming, milking by machine, light effort",
11240,8,occupation,"fire fighter, general",
11244,6.8,occupation,"fire fighter, rescue victim, automobile accident, using pike pole",
11245,8,occupation,"fire fighter, raising and climbing ladder with full gear, simulated fire supression",
11246,9,occupation,"fire fighter, hauling hoses on ground, carrying/hoisting equipment, breaking down walls etc., wearing full gear",
11247,3.5,occupation,"fishing, commercial, light effort",
11248,5,occupation,"fishing, commercial, moderate effort",
11249,7,occupation,"fishing, commercial, vigorous effort",
11250,17.5,occupation,"forestry, ax chopping, very fast, 1.25 kg axe, 51 blows/min, extremely vigorous effort",
11260,5,occupation,"forestry, ax chopping, slow, 1.25 kg axe, 19 blows/min, moderate effort",
11262,8,occupation,"forestry, ax chopping, fast, 1.25 kg axe, 35 blows/min, vigorous effort",
11264,4.5,occupation,"forestry, moderate effort (e.g., sawing wood with power saw, weeding, hoeing)",
11266,8,occupation,"forestry, vigorous effort (e.g., barking, felling, or trimming trees, carrying or stacking logs, planting seeds, sawing lumber by hand)",
11370,4.5,occupation,furriery,
11375,4,occupation,"garbage collector, walking, dumping bins into truck",
11378,1.8,occupation,"hairstylist (e.g., plaiting hair, manicure, make-up artist)",
11380,7.3,occupation,"horse grooming, including feeding, cleaning stalls, bathing, brushing, clipping, longeing and exercising horses",
11381,4.3,occupation,"horse, feeding, watering, cleaning stalls, implied walking and lifting loads",
11390,7.3,occupation,"horse racing, galloping",
11400,5.8,occupation,"horse racing, trotting",
11410,3.8,occupation,"horse racing, walking",
11413,3,occupation,kitchen maid,
11415,4,occupation,"lawn keeper, yard work, general",
11418,3.3,occupation,laundry worker,
11420,3,occupation,locksmith,
11430,3,occupation,"machine tooling (e.g., machining, working sheet metal, machine fitter, operating lathe, welding) light-to-moderate effort",
11450,5,occupation,"Machine tooling, operating punch press, moderate effort",
11472,1.8,occupation,"manager, property",
11475,2.8,occupation,"manual or unskilled labor, general, light effort",
11476,4.5,occupation,"manual or unskilled labor, general, moderate effort",
11477,6.5,occupation,"manual or unskilled labor, general, vigorous effort",
11480,4.3,occupation,"masonry, concrete, moderate effort",
11482,2.5,occupation,"masonry, concrete, light effort",
11485,4,occupation,"massage therapist, standing",
11490,7.5,occupation,"moving, carrying or pushing heavy objects, 75 lbs or more, only active time (e.g., desks, moving van work)",
11495,12,occupation,"skindiving or SCUBA diving as a frogman, Navy Seal",
11500,2.5,occupation,"operating heavy duty equipment, automated, not driving",
11510,4.5,occupation,"orange grove work, picking fruit",
11514,3.3,occupation,"painting,house, furniture, moderate effort",
11516,3,occupation,plumbing activities,
11520,2,occupation,"printing, paper industry worker, standing",
11525,2.5,occupation,"police, directing traffic, standing",
11526,2.5,occupation,"police, driving a squad car, sitting",
11527,1.3,occupation,"police, riding in a squad car, sitting",
11528,4,occupation,"police, making an arrest, standing",
