part,equiv,adj,desc
transverse colon,-,-,the part of the large intestine passing transversely in front of the liver and stomach
trunk,-,-,"the body excluding the head, neck, and limbs; torso"
umbilical cord,umbilicus,-,the long flexible tubelike structure connecting a fetus with the placenta: it provides a means of metabolic interchange with the mother
ureter,-,ureteral or ureteric,the tube that conveys urine from the kidney to the urinary bladder or cloaca
urethra,-,urethral,the canal that in most mammals conveys urine from the bladder out of the body. In human males it also conveys semen
vagina,-,vaginal,"the moist canal in most female mammals, including humans, that extends from the cervix of the uterus to an external opening between the labia minora"
vein,vena,venous,any of the tubular vessels that convey oxygen-depleted blood to the heart
vocal cords,glottis,glottal,either of two pairs of mucomembranous folds in the larynx. The upper pair (false vocal cords) are not concerned with vocal production; the lower pair (true vocal cords or vocal folds) can be made to vibrate and produce sound when air from the lungs is forced over them
voice box,larynx,laryngeal,a cartilaginous and muscular hollow organ forming part of the air passage to the lungs: in higher vertebrates it contains the vocal cords
vulva,-,"vulval, vulvar, or vulvate","the external genitals of human females, including the labia, mons veneris, clitoris, and the vaginal orifice"
waist,-,-,the constricted part of the trunk between the ribs and hips
white blood cell,leucocyte,-,leucocytic
windpipe,trachea,tracheal or tracheate,the membranous tube with cartilaginous rings that conveys inhaled air from the larynx to the bronchi
womb,uterus,uterine,a hollow muscular organ lying within the pelvic cavity of female mammals. It houses the developing fetus and by contractions aids in its expulsion at parturition
wrist,carpus,-,the joint between the forearm and the hand
aorta,-,-,"the main vessel in the arterial network, which conveys oxygen-rich blood from the heart to all parts of the body except the lungs"
atrium or auricle,-,-,"a cavity or chamber in the body, esp the upper chamber of each half of the heart"
bicuspid valve,-,-,"the valve between the left atrium and the left ventricle of the heart, consisting of two membranous flaps, that prevents regurgitation of blood into the atrium"
pulmonary artery,-,-,either of the two arteries that convey oxygen-depleted blood from the heart to the lungs
pulmonary vein,-,-,any one of the four veins that convey oxygen-rich blood from the lungs to the heart
semilunar valve,-,-,"either of two crescent-shaped valves, one in the aorta and one in the pulmonary artery, that prevent regurgitation of blood into the heart"
septum,-,-,a dividing partition between two tissues or cavities
NA,-,-,NA
vena cava,-,-,either one of the two large veins that convey oxygen-depleted blood to the heart
ventricle,-,-,"a chamber of the heart, having thick muscular walls, that receives blood from the atrium and pumps it to the arteries"
NA,-,-,NA
auditory nerve,-,-,"either of the eighth pair of cranial nerves, which connect the ear with the brain and carry impulses relating to sound and balance"
cochlea,-,-,"the spiral tube, shaped like a snail's shell, that forms part of the internal ear, converting sound vibrations into nerve impulses"
"eardrum, tympanic membrane, or tympanum",-,-,"the thin translucent oval membrane separating the external ear from the middle ear. It transmits vibrations produced by sound waves, via the ossicles, to the cochlea"
ear lobe,-,-,the fleshy lower part of the external ear
Eustachian tube,-,-,a tube that connects the middle ear with the nasopharynx and equalizes the pressure between the two sides of the eardrum
NA,-,-,NA
incus,-,-,the central of the three small bones in the middle ear of mammals
malleus,-,-,the outermost and largest of the three small bones in the middle ear of mammals
meatus or auditory canal,-,-,"a natural opening or channel, such as the canal leading from the outer ear to the eardrum"
organ of Corti,-,-,the sense organ of the cochlea by which sounds are converted into nerve impulses
NA,-,-,NA
pinna,-,-,the external part of the ear
NA,-,-,NA
saccule,-,-,the smaller of the two parts of the membranous labyrinth of the internal ear
semicircular canals,-,-,"the three looped fluid-filled membranous tubes, at right angles to one another, that comprise the labyrinth of the ear: concerned with the sense of orientation and equilibrium"
stapes,-,-,the stirrup-shaped bone that is the innermost of three small bones in the middle ear of mammals
tragus,-,-,the cartilaginous fleshy projection that partially covers the entrance to the external ear
utricle,-,-,the larger of the two parts of the membranous labyrinth of the internal ear
aqueous humour,-,-,the watery fluid within the eyeball between the cornea and the lens
blind spot,-,-,a small oval-shaped area of the retina in which vision is not experienced. It marks the nonphotosensitive site of entrance into the eyeball of the optic nerve
choroid or chorioid,-,-,the brownish vascular membrane of the eyeball between the sclera and the retina
ciliary body,-,-,the part of the vascular tunic of the eye that connects the choroid with the iris
cone,-,-,"any one of the cone-shaped cells in the retina of the eye, sensitive to colour and bright light"
conjunctiva,-,-,the delicate mucous membrane that covers the eyeball and the undersurface of the eyelid
cornea,-,-,the convex transparent membrane that forms the anterior covering of the eyeball and is continuous with the sclera
eyeball,-,-,the entire ball-shaped part of the eye
fovea,-,-,a small depression in the centre of the retina that contains only cone cells and is therefore the area of sharpest vision
iris,-,-,the coloured muscular diaphragm that surrounds and controls the size of the pupil
NA,-,-,NA
NA,-,-,NA
optic nerve,-,-,"the second cranial nerve, which provides a sensory pathway from the retina to the brain"
pupil,-,-,"the dark circular aperture at the centre of the iris of the eye, through which light enters"
retina,-,-,"the light-sensitive membrane forming the inner lining of the posterior wall of the eyeball, composed largely of a specialized terminal expansion of the optic nerve. Images focused here by the lens of the eye are transmitted to the brain as nerve impulses"
NA,-,-,NA
rod,-,-,"any of the elongated cylindrical cells in the retina of the eye, containing the visual purple (rhodopsin), which are sensitive to dim light but not to colour"
sclera,-,-,the firm white fibrous membrane that forms the outer covering of the eyeball
suspensory ligament,-,-,"any of various ligaments supporting body organs; esp., a ligament supporting the lens of the eye"
vitreous body,-,-,"a transparent gelatinous substance, permeated by fine fibrils, that fills the interior of the eyeball between the lens and the retina"
vitreous humour,-,-,the aqueous fluid contained within the interstices of the vitreous body
amygdala,-,-,"an almond-shaped part, such as a tonsil or a lobe of the cerebellum"
brainstem,-,-,"the stalklike part of the brain consisting of the medulla oblongata, the midbrain, and the pons Varolii"
Broca's area,-,-,the region of the cerebral cortex of the brain concerned with speech; the speech centre
central sulcus,-,-,a deep cleft in each hemisphere of the brain separating the frontal lobe from the parietal lobe
cerebellum,-,-,"one of the major divisions of the vertebrate brain, situated in man above the medulla oblongata and beneath the cerebrum, whose function is coordination of voluntary movements and maintenance of bodily equilibrium"
NA,-,-,NA
cerebral cortex or (nontechnical) grey matter,-,-,the outermost layer of the cerebrum that is the locus of higher brain processes
cerebrospinal fluid,-,-,the clear colourless fluid in the spaces inside and around the spinal cord and brain
cerebrum,-,-,"the anterior portion of the brain of vertebrates, consisting of two lateral hemispheres joined by a thick band of fibres: the dominant part of the brain in man, associated with intellectual function, emotion, and personality"
choroid plexus,-,-,"a multilobed vascular membrane, projecting into the cerebral ventricles, that secretes cerebrospinal fluid"
corpus callosum,-,-,the band of white fibres that connects the cerebral hemispheres in mammals
diencephalon,-,-,"the part of the brain that includes the basal ganglia, thalamus, hypothalamus, and associated areas"
NA,-,-,NA
frontal lobe,-,-,"the anterior portion of each cerebral hemisphere, situated in front of the central sulcus"
hippocampus,-,-,"an area of cerebral cortex that forms a ridge in the floor of the lateral ventricle of the brain, which in cross section has the shape of a sea horse. It functions as part of the limbic system"
hypothalamus,-,-,"a neural control centre at the base of the brain, concerned with hunger, thirst, satiety, and other autonomic functions"
infundibulum,-,-,"any funnel-shaped part, esp the stalk connecting the pituitary gland to the base of the brain"
limbic system,-,-,"the part of the brain bordering on the corpus callosum: concerned with basic emotion, hunger, and sex"
NA,-,-,NA
medulla oblongata,-,-,"the lower stalklike section of the brain, continuous with the spinal cord, containing control centres for the heart and lungs"
meninges,-,-,the three membranes that envelop the brain and spinal cord
midbrain,-,-,the middle part of the three primary divisions of the brain of a vertebrate embryo
myelencephalon or (nontechnical) afterbrain,-,-,the part of the embryonic hindbrain that develops into the medulla oblongata
occipital lobe,-,-,"the posterior portion of each cerebral hemisphere, concerned with the interpretation of visual sensory impulses"
NA,-,-,NA
parietal lobe,-,-,"the portion of each cerebral hemisphere concerned with the perception and interpretation of sensations of touch, temperature, and taste and with muscular movements"
pineal body,-,-,"a small, grayish, cone-shaped, glandular outgrowth from the brain of all vertebrates that produces the hormone melatonin: in lower vertebrates, often visible as an external median eye"
pituitary gland,-,-,"the master endocrine gland, attached by a stalk to the base of the brain. Its two lobes (the adenohypophysis and neurohypophysis) secrete hormones affecting skeletal growth, development of the sex glands, and the functioning of the other endocrine glands"
pons Varolii,-,-,a broad white band of connecting nerve fibres that bridges the hemispheres of the cerebellum in mammals
substantia alba or (nontechnical) white matter,-,-,"the whitish tissue of the brain and spinal cord, consisting mainly of myelinated nerve fibres"
temporal lobe,-,-,"the laterally protruding portion of each cerebral hemisphere, situated below the parietal lobe and associated with sound perception and interpretation: it is thought to be the centre for memory recall"
thalamus,-,-,either of the two contiguous egg-shaped masses of grey matter at the base of the brain
third ventricle,-,-,"one of the four cavities of the brain, lying on the midline between the cerebral hemispheres"
vermis,-,-,the middle lobe connecting the two halves of the cerebellum
NA,-,-,NA
